,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,definition
141,142,小,基礎,第1級,核心詞,1281,1334,"[['小', ['26956']]]",ㄒㄧㄠˇ,xiǎo,"small, tiny, few, young"
142,143,小孩/小孩子,基礎,第1級,核心詞,240,547,[],ㄒㄧㄠˇ ㄏㄞˊ / ㄒㄧㄠˇ ㄏㄞˊ ˙ㄗ,xiǎohái/xiǎoháizi,"child, CL:個|个[ge4]"
143,144,小姐,基礎,第1級,核心詞,273,50,"[['小姐', ['27009']]]",ㄒㄧㄠˇ ㄐㄧㄝˇ,xiǎojiě,"young lady, miss, (slang) prostitute, CL:個|个[ge4], 位[wei4]"
144,145,小時,基礎,第1級,核心詞,227,228,"[['小時', ['27037']]]",ㄒㄧㄠˇ ㄕˊ,xiǎoshí,"hour, CL:個|个[ge4]"
145,146,下午,基礎,第1級,核心詞,83,64,"[['下午', ['26665']]]",ㄒㄧㄚˋ ㄨˇ,xiàwǔ,"afternoon, CL:個|个[ge4], p.m."
146,147,寫,基礎,第1級,核心詞,473,410,"[['寫', ['26810']]]",ㄒㄧㄝˇ,xiě,to write
147,148,謝謝,基礎,第1級,核心詞,63,593,[],ㄒㄧㄝˋ ˙ㄒㄧㄝ,xièxie,"to thank, thanks, thank you"
148,149,喜歡,基礎,第1級,核心詞,494,577,"[['喜歡', ['26428']]]",ㄒㄧˇ ㄏㄨㄢ,xǐhuān,"to like, to be fond of"
149,150,新,基礎,第1級,核心詞,822,686,"[['新', ['27725']]]",ㄒㄧㄣ,xīn,"new, newly, meso- (chemistry)"
150,151,姓名,基礎,第1級,核心詞,22,3,"[['姓名', ['28325']]]",ㄒㄧㄥˋ ㄇㄧㄥˊ,xìngmíng,"surname and given name, full name"
151,152,星期天/星期日,基礎,第1級,核心詞,17,10,[],ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ / ㄒㄧㄥ ㄑㄧˊ ㄖˋ,xīngqítiān/xīngqírì,"Sunday, CL:個|个[ge4]"
152,153,星期一,基礎,第1級,核心詞,10,8,[],ㄒㄧㄥ ㄑㄧˊ ㄧ,xīngqíyī,Monday
153,154,學,基礎,第1級,核心詞,206,359,"[['學', ['28476']]]",ㄒㄩㄝˊ ,xué,"to learn, to study, to imitate, science, -ology"
154,155,學生,基礎,第1級,核心詞,418,303,"[['學生', ['28513']]]",ㄒㄩㄝˊ ㄕㄥ,xuéshēng,"student, schoolchild"
155,156,學校,基礎,第1級,8.教育、學習,303,497,"[['學校', ['28506']]]",ㄒㄩㄝˊ ㄒㄧㄠˋ,xuéxiào,"school, CL:所[suo3]"
156,157,要,基礎,第1級,核心詞,3541,7742,"[['要', ['41020', '41117']]]",ㄧㄠˋ      ,yào,"to want, to need, to ask for, will, shall, about to, need to, should, if (same as 要是[yao4 shi5]), (bound form) important"
157,158,也,基礎,第1級,核心詞,6312,7341,"[['也', ['40885']]]",ㄧㄝˇ,yě,"(adverb) also, both ... and ... (before predicates only), (literary) particle having functions similar to 啊[a5]"
158,159,一,基礎,第1級,核心詞,15058,16040,"[['一', ['39958']]]",ㄧ,yī,"one, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
159,160,一起,基礎,第1級,核心詞,337,718,"[['一起', ['40120']]]",ㄧˋ ㄑㄧˇ,yìqǐ,"in the same place, together, with, altogether (in total)"
160,161,一月,基礎,第1級,核心詞,40,13,[],ㄧ ㄩㄝˋ,yīyuè,"January, first month (of the lunar year)"
161,162,醫生/醫師,基礎,第1級,7.身體、醫療,360,372,"[['醫生', ['40311']], ['醫師', ['40310']]]",ㄧ ㄕㄥ / ㄧ ㄕ,yīshēng/yīshī,"doctor, CL:個|个[ge4], 位[wei4], 名[ming2]"
162,163,英文,基礎,第1級,8.教育、學習,59,65,"[['英文', ['42403']]]",ㄧㄥ ㄨㄣˊ,yīngwén,English (language)
163,164,用,基礎,第1級,核心詞,1521,2223,"[['用', ['45091']]]",ㄩㄥˋ  ,yòng,"to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore"
164,165,有,基礎,第1級,核心詞,8990,12724,"[['有', ['41411', '41548']]]",ㄧㄡˇ   ,yǒu,"to have, there is, (bound form) having, with, -ful, -ed, -al (as in 有意[you3 yi4] intentional)"
165,166,元,基礎,第1級,核心詞,220,122,"[['元', ['44701']]]",ㄩㄢˊ,yuán,"currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon"
166,167,月,基礎,第1級,核心詞,463,737,"[['月', ['44584']]]",ㄩㄝˋ,yuè,"moon, month, monthly, CL:個|个[ge4], 輪|轮[lun2]"
167,168,再見,基礎,第1級,核心詞,19,27,"[['再見', ['37061']]]",ㄗㄞˋ ㄐㄧㄢˋ,zàijiàn,"goodbye, see you again later"
168,169,早,基礎,第1級,核心詞,248,240,"[['早', ['37127']]]",ㄗㄠˇ  ,zǎo,"early, morning, Good morning!, long ago, prematurely"
169,170,早安,基礎,第1級,核心詞,6,4,"[['早安', ['37151']]]",ㄗㄠˇ ㄢ,zǎoān,Good morning!
170,171,早上,基礎,第1級,核心詞,103,130,"[['早上', ['37147']]]",ㄗㄠˇ ㄕㄤˋ,zǎoshàng,"early morning, CL:個|个[ge4]"
171,172,怎麼,基礎,第1級,核心詞,570,1269,"[['怎麼', ['37285']]]",ㄗㄣˇ ˙ㄇㄜ ,zěnme,"how?, what?, why?"
172,173,找,基礎,第1級,核心詞,489,477,"[['找', ['29661']]]",ㄓㄠˇ  ,zhǎo,"to try to find, to look for, to call on sb, to find, to seek, to return, to give change"
173,174,這/這裡/這裏/這兒,基礎,第1級,核心詞,8975,15872,"[['這', ['29544']], ['這裡', ['29547']]]",ㄓㄜˋ/ㄓㄜˋ ㄌㄧˇ/ㄓㄜˋ ㄦ,zhè/zhèlǐ/zhèr,"(pronoun) this, these, (bound form) this, the (followed by a noun), (bound form) this, these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)"
174,175,知道,基礎,第1級,核心詞,1488,1666,"[['知道', ['28938']]]",ㄓ ㄉㄠˋ,zhīdào,"to know, to become aware of, also pr. [zhi1 dao5]"
175,176,中文,基礎,第1級,核心詞,36,38,"[['中文', ['31199']]]",ㄓㄨㄥ ㄨㄣˊ,zhōngwén,Chinese language
176,177,中午,基礎,第1級,核心詞,30,41,"[['中午', ['31195']]]",ㄓㄨㄥ ㄨˇ,zhōngwǔ,"noon, midday, CL:個|个[ge4]"
177,178,字,基礎,第1級,核心詞,284,171,"[['字', ['36737']]]",ㄗˋ ,zì,"letter, symbol, character, word, CL:個|个[ge4], courtesy or style name traditionally given to males aged 20 in dynastic China"
178,179,走,基礎,第1級,核心詞,545,643,"[['走', ['37206']]]",ㄗㄡˇ   ,zǒu,"to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)"
179,180,做,基礎,第1級,核心詞,1808,3593,"[['做', ['37549']]]",ㄗㄨㄛˋ  ,zuò,"to make, to produce, to write, to compose, to do, to engage in, to hold (a party etc), (of a person) to be (an intermediary, a good student etc), to become (husband and wife, friends etc), (of a thing) to serve as, to be used for, to assume (an air or manner)"
180,181,坐,基礎,第1級,核心詞,406,240,"[['坐', ['37459']]]",ㄗㄨㄛˋ  ,zuò,"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuo4]"
181,182,昨天,基礎,第1級,核心詞,53,84,"[['昨天', ['37428']]]",ㄗㄨㄛˊ ㄊㄧㄢ,zuótiān,yesterday
182,183,矮,基礎,第1*級,核心詞,29,13,"[['矮', ['39531']]]",ㄞˇ  ,ǎi,"low, short (in length)"
183,184,白,基礎,第1*級,核心詞,208,167,"[['白', ['253']]]",ㄅㄞˊ,bái,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera"
184,185,飽,基礎,第1*級,核心詞,17,38,"[['飽', ['729']]]",ㄅㄠˇ ,bǎo,"to eat till full, satisfied"
185,186,包子,基礎,第1*級,10.餐飲、烹飪,4,2,"[['包子', ['644']]]",ㄅㄠ ˙ㄗ,bāozi,"bao (steamed stuffed bun), CL:個|个[ge4]"
186,187,杯子/杯,基礎,第1*級,核心詞,108,118,"[['杯子', ['468']], ['杯', ['459']]]",ㄅㄟ ˙ㄗ / ㄅㄟ,bēizi/bēi,"cup, glass, CL:個|个[ge4], 隻|只[zhi1]"
187,188,鼻子/鼻,基礎,第1*級,核心詞,69,31,"[['鼻子', ['1210']], ['鼻', ['1201']]]",ㄅㄧˊ ˙ㄗ / ㄅㄧˊ,bízi/bí,"nose, CL:個|个[ge4], 隻|只[zhi1]"
188,189,筆,基礎,第1*級,核心詞,123,82,"[['筆', ['1249']]]",ㄅㄧˇ,bǐ,"pen, pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1], 枝[zhi1]"
189,190,比,基礎,第1*級,核心詞,728,555,"[['比', ['2978', '1218', '1285']]]",ㄅㄧˇ  ,bǐ,"to compare, (followed by a noun and adjective) more {adj.} than {noun}, ratio, to gesture, (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)"
190,191,邊,基礎,第1*級,核心詞,515,454,"[['邊', ['1580']]]",ㄅㄧㄢ ,biān,"side, edge, margin, border, boundary, CL:個|个[ge4], simultaneously, suffix of a noun of locality"
191,192,別,基礎,第1*級,核心詞,306,142,"[['別', ['1435']]]",ㄅㄧㄝˊ,bié,"to leave, to part (from), (literary) to differentiate, to distinguish, (bound form) other, another, different, don't ...!, to fasten with a pin or clip, to stick in, to insert (in order to hinder movement), (noun suffix) category (e.g. 性別|性别[xing4 bie2], 派別|派别[pai4 bie2])"
192,193,冰,基礎,第1*級,10.餐飲、烹飪,31,105,"[['冰', ['1737']]]",ㄅㄧㄥ   ,bīng,"ice, CL:塊|块[kuai4], to chill sth, (of an object or substance) to feel cold, (of a person) cold, unfriendly, (slang) methamphetamine"
193,194,病,基礎,第1*級,7.身體、醫療,131,149,"[['病', ['1829']]]",ㄅㄧㄥˋ ,bìng,"illness, CL:場|场[chang2], disease, to fall ill, defect"
194,195,不錯,基礎,第1*級,核心詞,97,204,"[['不錯', ['2283']]]",ㄅㄨˊ ㄘㄨㄛˋ,búcuò,"correct, right, not bad, pretty good"
195,196,菜,基礎,第1*級,10.餐飲、烹飪,79,350,"[['菜', ['38024']]]",ㄘㄞˋ ,cài,"vegetable, greens (CL:棵[ke1]), dish (of food) (CL:樣|样[yang4], 道[dao4], 盤|盘[pan2]), (of one's skills etc) weak, poor, (coll.) (one's) type"
196,197,餐廳,基礎,第1*級,10.餐飲、烹飪,54,79,"[['餐廳', ['38126']]]",ㄘㄢ ㄊㄧㄥ,cāntīng,"dining hall, dining room, restaurant, CL:間|间[jian1], 家[jia1]"
197,198,長,基礎,第1*級,核心詞,434,469,"[['長', ['30148', '32100']]]",ㄔㄤˊ  ,cháng,"length, long, forever, always, constantly"
198,199,唱,基礎,第1*級,核心詞,89,78,"[['唱', ['32226']]]",ㄔㄤˋ,chàng,"to sing, to call loudly, to chant"
199,200,唱歌,基礎,第1*級,4.休閒、娛樂,29,35,[],ㄔㄤˋ ㄍㄜ,chànggē,to sing a song
200,201,常常/常,基礎,第1*級,核心詞,507,691,"[['常常', ['32177']], ['常', ['32163']]]",ㄔㄤˊ ㄔㄤˊ / ㄔㄤˊ,chángcháng/cháng,"frequently, often"
201,202,出,基礎,第1*級,核心詞,350,216,"[['出', ['32448']]]",ㄔㄨ ,chū,"to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, (used after a verb to indicate an outward direction or a positive result), classifier for dramas, plays, operas etc"
202,203,穿,基礎,第1*級,2.日常起居,189,193,"[['穿', ['32791']]]",ㄔㄨㄢ ,chuān,"to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread"
203,204,床,基礎,第1*級,核心詞,122,53,"[['床', ['32966']]]",ㄔㄨㄤˊ ,chuáng,"bed, couch, classifier for beds, CL:張|张[zhang1]"
204,205,從,基礎,第1*級,核心詞,1948,1910,"[['從', ['37677', '37734', '38453', '38461']]]",ㄘㄨㄥˊ  ,cóng,"from, through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zong4]) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor"
205,206,錯,基礎,第1*級,核心詞,195,341,"[['錯', ['38327']]]",ㄘㄨㄛˋ ,cuò,"mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver"
206,207,蛋,基礎,第1*級,10.餐飲、烹飪,41,51,"[['蛋', ['7994']]]",ㄉㄢˋ ,dàn,"egg, CL:個|个[ge4], 打[da2], oval-shaped thing"
207,208,得,基礎,第1*級,核心詞,2471,1542,"[['得', ['7402', '7458', '7583']]]",˙ㄉㄜ ,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc"
208,209,得,基礎,第1*級,核心詞,2471,1542,"[['得', ['7402', '7458', '7583']]]",ㄉㄟˇ ,děi,"to have to, must, ought to, to need to"
209,210,等,基礎,第1*級,核心詞,1163,650,"[['等', ['8193']]]",ㄉㄥˇ  ,děng,"to wait for, to await, by the time, when, till, and so on, etc., et al., (bound form) class, rank, grade, (bound form) equal to, same as, (used to end an enumeration), (literary) (plural suffix attached to a personal pronoun or noun)"
210,211,低,基礎,第1*級,核心詞,122,169,"[['低', ['8231']]]",ㄉㄧ ,dī,"low, beneath, to lower (one's head), to let droop, to hang down, to incline"
211,212,地方,基礎,第1*級,核心詞,563,1183,"[['地方', ['8411']]]",ㄉㄧˋ ㄈㄤ ,dìfāng,"region, regional (away from the central administration), local, area, place, space, room, territory, CL:處|处[chu4], 個|个[ge4], 塊|块[kuai4]"
212,213,店,基礎,第1*級,核心詞,73,56,"[['店', ['8850']]]",ㄉㄧㄢˋ ,diàn,"inn, old-style hotel (CL:家[jia1]), (bound form) shop, store"
213,214,電腦,基礎,第1*級,核心詞,226,117,"[['電腦', ['8896']]]",ㄉㄧㄢˋ ㄋㄠˇ,diànnǎo,"computer, CL:臺|台[tai2]"
214,215,電視,基礎,第1*級,2.日常起居,125,126,"[['電視', ['8981']]]",ㄉㄧㄢˋ ㄕˋ,diànshì,"television, TV, CL:臺|台[tai2], 個|个[ge4]"
215,216,電影,基礎,第1*級,4.休閒、娛樂,282,70,"[['電影', ['9023']]]",ㄉㄧㄢˋ ㄧㄥˇ,diànyǐng,"movie, film, CL:部[bu4], 片[pian4], 幕[mu4], 場|场[chang3]"
216,217,懂,基礎,第1*級,核心詞,133,179,"[['懂', ['9814']]]",ㄉㄨㄥˇ,dǒng,"to understand, to comprehend"
217,218,讀,基礎,第1*級,核心詞,204,133,"[['讀', ['7855', '9281']]]",ㄉㄨˊ  ,dú,"to read out, to read aloud, to read, to attend (school), to study (a subject in school), to pronounce"
218,219,短,基礎,第1*級,核心詞,82,75,"[['短', ['9584']]]",ㄉㄨㄢˇ,duǎn,"short, brief, to lack, weak point, fault"
219,220,多久,基礎,第1*級,核心詞,19,30,"[['多久', ['9394']]]",ㄉㄨㄛ ㄐㄧㄡˇ,duōjiǔ,"(of time) how long?, (not) a long time"
220,221,餓,基礎,第1*級,核心詞,41,46,"[['餓', ['39478']]]",ㄜˋ,è,"to be hungry, hungry, to starve (sb)"
221,222,耳朵,基礎,第1*級,7.身體、醫療,57,28,"[['耳朵', ['39899']]]",ㄦˇ ˙ㄉㄨㄛ,ěrduo,"ear, CL:隻|只[zhi1], 個|个[ge4], 對|对[dui4], handle (on a cup)"
222,223,飯,基礎,第1*級,核心詞,79,113,"[['飯', ['5690']]]",ㄈㄢˋ ,fàn,"cooked rice, CL:碗[wan3], meal, CL:頓|顿[dun4], (loanword) fan, devotee"
223,224,方便,基礎,第1*級,核心詞,54,124,"[['方便', ['5877']]]",ㄈㄤ ㄅㄧㄢˋ,fāngbiàn,"convenient, suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself"
224,225,房間,基礎,第1*級,核心詞,172,48,"[['房間', ['5974']]]",ㄈㄤˊ ㄐㄧㄢ,fángjiān,"room, CL:間|间[jian1], 個|个[ge4]"
225,226,房子,基礎,第1*級,核心詞,148,184,"[['房子', ['5979']]]",ㄈㄤˊ ˙ㄗ,fángzi,"house, building (single- or two-story), apartment, room, CL:棟|栋[dong4], 幢[zhuang4], 座[zuo4], 套[tao4], 間|间[jian1]"
226,227,非常,基礎,第1*級,核心詞,663,1544,"[['非常', ['5320']]]",ㄈㄟ ㄔㄤˊ,fēicháng,"very, really, unusual, extraordinary"
227,228,飛機,基礎,第1*級,5.交通、旅遊,79,65,"[['飛機', ['5352']]]",ㄈㄟ ㄐㄧ,fēijī,"airplane, CL:架[jia4]"
228,229,風,基礎,第1*級,核心詞,101,201,"[['風', ['6096', '6268']]]",ㄈㄥ,fēng,"wind, news, style, custom, manner, CL:陣|阵[zhen4], 絲|丝[si1]"
229,230,分鐘,基礎,第1*級,核心詞,232,125,"[['分鐘', ['5761']]]",ㄈㄣ ㄓㄨㄥ,fēnzhōng,minute
230,231,附近,基礎,第1*級,核心詞,128,152,"[['附近', ['6542']]]",ㄈㄨˋ ㄐㄧㄣˋ,fùjìn,"nearby, neighboring, (in the) vicinity (of), neighborhood"
231,232,感冒,基礎,第1*級,7.身體、醫療,24,37,"[['感冒', ['16416']]]",ㄍㄢˇ ㄇㄠˋ,gǎnmào,"to catch cold, (common) cold, CL:場|场[chang2], 次[ci4], (coll.) to be interested in (often used in the negative), (Tw) to detest, can't stand"
232,233,告訴,基礎,第1*級,核心詞,546,363,"[['告訴', ['16213']]]",ㄍㄠˋ ㄙㄨˋ,gàosù,"to press charges, to file a complaint, to tell, to inform, to let know"
233,234,歌,基礎,第1*級,核心詞,68,57,"[['歌', ['15839']]]",ㄍㄜ,gē,"song, CL:支[zhi1], 首[shou3], to sing"
234,235,跟,基礎,第1*級,核心詞,1038,3969,"[['跟', ['16487']]]",ㄍㄣ    ,gēn,"heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)"
235,236,公車,基礎,第1*級,5.交通、旅遊,18,34,"[['公車', ['17773']]]",ㄍㄨㄥ ㄔㄜ,gōngchē,"bus, abbr. for 公共汽車|公共汽车[gong1 gong4 qi4 che1], car belonging to an organization and used by its members (government car, police car, company car etc), abbr. for 公務用車|公务用车[gong1 wu4 yong4 che1]"
236,237,公園,基礎,第1*級,2.日常起居,52,95,"[['公園', ['17823']]]",ㄍㄨㄥ ㄩㄢˊ,gōngyuán,"park (for public recreation), CL:個|个[ge4], 座[zuo4]"
237,238,功課,基礎,第1*級,8.教育、學習,43,93,"[['功課', ['17630']]]",ㄍㄨㄥ ㄎㄜˋ,gōngkè,"homework, assignment, task, classwork, lesson, study, CL:門|门[men2]"
238,239,夠,基礎,第1*級,核心詞,209,267,"[['夠', ['16266']]]",ㄍㄡˋ,gòu,"enough (sufficient), enough (too much), (coll.) (before adj.) really, (coll.) to reach by stretching out"
239,240,貴,基礎,第1*級,1.個人資料,57,96,"[['貴', ['17285']]]",ㄍㄨㄟˋ,guì,"expensive, noble, precious, (honorific) your"
240,241,過,基礎,第1*級,核心詞,1712,1404,"[['過', ['16923', '17085']]]",ㄍㄨㄛˋ    ,guò,"to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-, (experienced action marker)"
241,242,國家,基礎,第1*級,5.交通、旅遊,363,694,"[['國家', ['16993']]]",ㄍㄨㄛˊ ㄐㄧㄚ,guójiā,"country, nation, state, CL:個|个[ge4]"
242,243,還,基礎,第1*級,核心詞,2505,3842,"[['還', ['19234', '20761']]]",ㄏㄞˊ,hái,"still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else"
243,244,還是,基礎,第1*級,核心詞,626,1030,"[['還是', ['19237']]]",ㄏㄞˊ ㄕˋ  ,háishì,"still (as before), had better, unexpectedly, or"
244,245,黑,基礎,第1*級,核心詞,147,111,"[['黑', ['19332']]]",ㄏㄟ  ,hēi,"black, dark, sinister, secret, shady, illegal, to hide (sth) away, to vilify, (loanword) to hack (computing)"
245,246,紅,基礎,第1*級,核心詞,137,139,"[['紅', ['17664', '21097']]]",ㄏㄨㄥˊ ,hóng,"red, popular, revolutionary, bonus"
246,247,後年,基礎,第1*級,核心詞,1,0,[],ㄏㄡˋ ㄋㄧㄢˊ,hòunián,the year after next
247,248,後天,基礎,第1*級,核心詞,17,14,"[['後天', ['19566']]]",ㄏㄡˋ ㄊㄧㄢ,hòutiān,"the day after tomorrow, life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1]), acquired (not innate or congenital), a posteriori"
248,249,畫,基礎,第1*級,核心詞,149,229,"[['畫', ['20201']]]",ㄏㄨㄚˋ      ,huà,"to draw, to paint, picture, painting (CL:幅[fu2], 張|张[zhang1]), to draw (a line) (variant of 劃|划[hua4]), stroke of a Chinese character (variant of 劃|划[hua4]), (calligraphy) horizontal stroke (variant of 劃|划[hua4])"
